game_id,player_id,official_minutes,derived_minutes,error,abs_error
22100019,203200,20.216666666666665,20.116666666666667,-0.09999999999999787,0.09999999999999787
22100019,1626167,43.6,43.4,-0.20000000000000284,0.20000000000000284
22100019,1627734,42.833333333333336,42.833333333333336,0.0,0.0
22100019,1630537,45.3,45.3,0.0,0.0
22100019,1627763,44.03333333333333,43.916666666666664,-0.11666666666666714,0.11666666666666714
22100019,204456,23.55,23.5,-0.05000000000000071,0.05000000000000071
22100019,1628470,11.7,11.7,0.0,0.0
22100019,203087,23.766666666666666,23.766666666666666,0.0,0.0
22100019,1629052,7.866666666666667,7.866666666666667,0.0,0.0
22100019,202954,2.1166666666666667,2.1166666666666667,0.0,0.0
22100019,1629048,0.0,0.0,0.0,0.0
22100019,1630543,0.0,0.0,0.0,0.0
22100019,1630610,0.0,0.0,0.0,0.0
22100019,1630613,0.0,0.0,0.0,0.0
22100019,203484,34.96666666666667,34.833333333333336,-0.13333333333333286,0.13333333333333286
22100019,1628398,38.55,38.55,0.0,0.0
22100019,1629655,18.2,18.083333333333336,-0.11666666666666359,0.11666666666666359
22100019,1628988,25.1,25.083333333333332,-0.016666666666669272,0.016666666666669272
22100019,203915,34.71666666666667,34.53333333333333,-0.18333333333333712,0.18333333333333712
22100019,203526,29.5,29.4,-0.10000000000000142,0.10000000000000142
22100019,1630166,16.716666666666665,16.716666666666665,0.0,0.0
22100019,1626149,34.233333333333334,34.06666666666667,-0.1666666666666643,0.1666666666666643
22100019,202722,23.0,22.85,-0.14999999999999858,0.14999999999999858
22100019,1630557,10.016666666666667,10.016666666666666,-1.7763568394002505e-15,1.7763568394002505e-15
22100019,1630555,0.0,0.0,0.0,0.0
22100019,1629060,0.0,0.0,0.0,0.0
22100019,1630225,0.0,0.0,0.0,0.0
22100343,1627936,7.983333333333333,7.983333333333333,0.0,0.0
22100343,201942,38.45,38.166666666666664,-0.28333333333333854,0.28333333333333854
22100343,202696,34.65,34.516666666666666,-0.13333333333333286,0.13333333333333286
22100343,203897,37.416666666666664,37.416666666666664,0.0,0.0
22100343,1628366,39.85,39.86666666666667,0.01666666666666572,0.01666666666666572
22100343,1630245,23.1,23.083333333333332,-0.016666666666669272,0.016666666666669272
22100343,1627884,32.56666666666667,32.28333333333333,-0.28333333333333854,0.28333333333333854
22100343,1628993,6.633333333333333,6.633333333333333,0.0,0.0
22100343,1628972,12.85,12.850000000000001,1.7763568394002505e-15,1.7763568394002505e-15
22100343,1628396,6.5,6.5,0.0,0.0
22100343,1629076,0.0,0.0,0.0,0.0
22100343,1629653,0.0,0.0,0.0,0.0
22100343,1630250,0.0,0.0,0.0,0.0
22100343,1629744,0.0,0.0,0.0,0.0
22100343,201142,38.13333333333333,37.96666666666667,-0.1666666666666643,0.1666666666666643
22100343,1627761,23.116666666666667,23.1,-0.01666666666666572,0.01666666666666572
22100343,200746,32.583333333333336,32.583333333333336,0.0,0.0
22100343,201988,34.11666666666667,33.983333333333334,-0.13333333333333286,0.13333333333333286
22100343,201935,39.71666666666667,39.71666666666667,0.0,0.0
22100343,1628971,26.116666666666667,26.033333333333335,-0.08333333333333215,0.08333333333333215
22100343,1630560,25.483333333333334,25.483333333333334,0.0,0.0
22100343,200794,15.35,15.35,0.0,0.0
22100343,1628975,5.383333333333334,5.383333333333333,-8.881784197001252e-16,8.881784197001252e-16
22100343,1629651,0.0,0.0,0.0,0.0
22100343,201933,0.0,0.0,0.0,0.0
22100343,201949,0.0,0.0,0.0,0.0
22100468,1627736,35.1,35.1,0.0,0.0
22100468,1630183,39.483333333333334,39.483333333333334,0.0,0.0
22100468,1626157,37.55,37.4,-0.14999999999999858,0.14999999999999858
